MQ_KURZNAME;DET_NAME_ALT;DET_NAME_NEU;DET_ID15;MQ_ID15;STRASSE;POSITION;POS_DETAIL;RICHTUNG;SPUR;annotation;LÄNGE (WGS84);BREITE (WGS84);INBETRIEBNAHME;ABBAUDATUM;DEINSTALLIERT;KOMMENTAR
TE479;TEU00477_Det0;TE479_Det_Bus;1.00101E+14;1.00201E+14;Gitschiner Straße;zwischen Lindenstraße und Wilhelmstraße;Wilhelmstraße;West;BUS;Busspur;13.39249012;52.49809455;09.12.08;;;
TE484;TEU00484_Det0;TE484_Det_HF1;1.00101E+14;1.00201E+14;Landsberger Allee;zwischen Storkower Straße und Fritz-Riedel-Straße;Danziger Straße;West;HF_R;Hauptfahrbahn;13.45495137;52.52852554;06.01.09;;;
TE484;TEU00484_Det1;TE484_Det_HF2;1.00101E+14;1.00201E+14;Landsberger Allee;zwischen Storkower Straße und Fritz-Riedel-Straße;Danziger Straße;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.45495137;52.52852554;06.01.09;;;
TE484;TEU00484_Det2;TE484_Det_HF3;1.00101E+14;1.00201E+14;Landsberger Allee;zwischen Storkower Straße und Fritz-Riedel-Straße;Danziger Straße;West;HF_3vR;Hauptfahrbahn, 3. Spur von rechts;13.45495137;52.52852554;06.01.09;;;
TE490;TEU00490_Det0;TE490_Det_HF1;1.00101E+14;1.00201E+14;Wisbyer Straße;zwischen Baumbachstraße und Trelleborger Straße;Schönhauser Allee;West;HF_R;Hauptfahrbahn;13.41965097;52.55340292;17.08.09;;;
TE490;TEU00490_Det1;TE490_Det_HF2;1.00101E+14;1.00201E+14;Wisbyer Straße;zwischen Baumbachstraße und Trelleborger Straße;Schönhauser Allee;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.41965097;52.55340292;17.08.09;;;
TE493;TEU00493_Det1;TE493_Det_HF1;1.00101E+14;1.00201E+14;Mollstraße;zwischen Otto-Braun-Straße und Mendelssohnstraße;Prenzlauer Allee;Nordwest;HF_R;Hauptfahrbahn;13.41883615;52.52588636;09.07.09;;X;Jetzt Busspur?
TE493;TEU00493_Det2;TE493_Det_HF2;1.00101E+14;1.00201E+14;Mollstraße;zwischen Otto-Braun-Straße und Mendelssohnstraße;Prenzlauer Allee;Nordwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.41883615;52.52588636;09.07.09;;;
TE494;TEU00493_Det0;TE494_Det_Bus;1.00101E+14;1.00201E+14;Mollstraße;zwischen Otto-Braun-Straße und Mendelssohnstraße;Prenzlauer Allee;Nordwest;BUS;Busspur;13.41883615;52.52588636;09.07.09;;X;Jetzt Radspur?
TE502;TEU00502_Det0;TE502_Det_HF1;1.00101E+14;1.00201E+14;Paulstraße;zwischen Flemingstraße und Alt-Moabit;Alt-Moabit;Nord;HF;Hauptfahrbahn;13.35643582;52.52206752;02.01.09;;;
TE502;TEU00502_Det1;TE502_Det_HF2;1.00101E+14;1.00201E+14;Paulstraße;zwischen Flemingstraße und Alt-Moabit;Alt-Moabit;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.35643582;52.52206752;02.01.09;;;
TE503;TEU00452_Det0;TE503_Det_HF1;1.00101E+14;1.00201E+14;Alt-Moabit;zwischen Paulstraße und Spenerstraße;Stromstraße;West;HF_R;Hauptfahrbahn;13.35407473;52.52418392;17.08.09;;;
TE503;TEU00452_Det1;TE503_Det_HF2;1.00101E+14;1.00201E+14;Alt-Moabit;zwischen Paulstraße und Spenerstraße;Stromstraße;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.35407473;52.52418392;17.08.09;;;
TE507;TEU00507_Det1;TE507_Det_HF1;1.00101E+14;1.00201E+14;Martin-Luther-Straße;zwischen Hohenstaufenstraße und Grunewaldstraße, hinter Barbarossastraße;Grunewaldstraße;Süd;HF_R;Hauptfahrbahn;13.34483178;52.49169414;30.06.09;;;
TE507;TEU00507_Det2;TE507_Det_HF2;1.00101E+14;1.00201E+14;Martin-Luther-Straße;zwischen Hohenstaufenstraße und Grunewaldstraße, hinter Barbarossastraße;Grunewaldstraße;Süd;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.34483178;52.49169414;30.06.09;;;
TE508;TEU00508_Det0;TE508_Det_HF1;1.00101E+14;1.00201E+14;Martin-Luther-Straße;zwischen Fuggerstraße und Lietzenburger Straße;Lietzenburger Straße;Nord;HF;Hauptfahrbahn;13.34621537;52.49935575;14.08.09;;;
TE508;TEU00508_Det1;TE508_Det_HF2;1.00101E+14;1.00201E+14;Martin-Luther-Straße;zwischen Fuggerstraße und Lietzenburger Straße;Lietzenburger Straße;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.34621537;52.49935575;14.08.09;;;
TE508;TEU00508_Det2;TE508_Det_HF3;1.00101E+14;1.00201E+14;Martin-Luther-Straße;zwischen Fuggerstraße und Lietzenburger Straße;Lietzenburger Straße;Nord;HF_3vR;Hauptfahrbahn, 3. Spur von rechts;13.34621537;52.49935575;14.08.09;;;
TE509;TEU00509_Det0;TE509_Det_HF1;1.00101E+14;1.00201E+14;Lietzenburger Straße;zwischen Welserstraße und Martin-Luther-Straße, ca 50 m vor Martin-Luther-Straße;Martin-Luther-Straße;Ost;HF_R;Hauptfahrbahn;13.34523407;52.49993608;27.06.09;;;
TE509;TEU00509_Det1;TE509_Det_HF2;1.00101E+14;1.00201E+14;Lietzenburger Straße;zwischen Welserstraße und Martin-Luther-Straße, ca 50 m vor Martin-Luther-Straße;Martin-Luther-Straße;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.34523407;52.49993608;27.06.09;;;
TE510;TEU00510_Det0;TE510_Det_HF1;1.00101E+14;1.00201E+14;Lietzenburger Straße;zwischen Martin-Luther-Straße und Bayreuther Straße;Bayreuther Straße;Südwest;HF_R;Hauptfahrbahn;13.34442798;52.50034221;20.12.08;;;
TE510;TEU00510_Det1;TE510_Det_HF2;1.00101E+14;1.00201E+14;Lietzenburger Straße;zwischen Martin-Luther-Straße und Bayreuther Straße;Bayreuther Straße;Südwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.34442798;52.50034221;20.12.08;;;
